userapproleid,workappid,workappname,workappcategoryid,userid,typeofworkname,userroleid,permissionlevelid,permissionlevelisprivileged
d40b0768-aa95-48a8-84cc-3853d98e9ef1,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,b8b13b51-0d28-4608-98fb-77e8d3bd75e9,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
d1fbd796-8f27-4e1e-adb7-55fff6a9b7d9,b8177d69-82ad-467b-91e5-71df1b3fa13c,Intercom,16,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
d218db35-19b9-41b8-9649-f87e5cb0e505,d566bf00-d3ef-43c4-b8d8-5899cd167602,Aircall,16,979397fa-ab38-4297-970e-6a5b03e7f71a,Other,1,,
d292228e-65a3-43d9-970f-58986553f0c5,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,68be0762-db03-4de1-a241-e0c1e149610e,Other,1,,
d2f76a27-5c31-4fdf-8dff-018b64b9f349,b8177d69-82ad-467b-91e5-71df1b3fa13c,Intercom,16,b88565cd-f7c8-4b97-8c1a-8af3dd064131,Other,1,,
d378a492-b40c-4236-830a-ab034a491cf5,8b034d9e-e4c5-408b-bdec-09f647fdc94d,Calendly,9,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
d39debd5-972f-4149-b427-78346f00fe59,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,cd455c7e-1a73-4db6-b138-2e399e3c3941,Other,1,,
b0da64cd-7f9f-4c15-bc18-d4ae0b96eedc,c4317ad0-7886-422e-83df-d17eb9a9f977,SalesScreen,4,23e8dceb-f94d-480d-804b-e8fb9091b4ab,Other,1,c5d99ea5-2169-4286-ace2-0ddaeccf846c,False
d4f8198f-4875-4ff4-a0ee-653b3b7bf9d1,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,66c11ed6-8e5c-4029-bbfa-b0f02b724ef9,Other,1,,
d8c98e49-a1cc-49f1-adf4-832a6568784d,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,5b6bcf30-7b81-4cc8-afce-584cc8512e95,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
d506b4f4-f5e4-4bcb-8c31-3b7845ea2077,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,96e8b3e5-85ee-49a3-86e2-027b4c1c9c65,ProductManagement,1,,
d52d138f-4b14-428e-b878-8f14da1e1469,a30938b2-564e-4eb9-a2e4-496c80eff28e,Modjo,4,3798b13e-695e-4fa2-87e0-a4ea97cc67ce,Other,1,,
d597091d-ea44-4972-90d1-62b289007a3b,a30938b2-564e-4eb9-a2e4-496c80eff28e,Modjo,4,c68bc2fd-cef7-42d2-9f75-7e0bfba57dc6,BusinessDevelopment,1,,
dc18b40c-1d8a-436a-a4d8-8aea350c76aa,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,c6835e86-4d66-438d-879b-4ee4f311cad3,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
d61afc28-f3f9-4022-90ba-f438c821fbe6,0312c9b6-6930-4286-9dae-b4bc9c348346,Contentful,13,deb3d94e-a06f-4cb5-90fc-66205ec6a8cd,Other,1,,
4cbe1fe0-a943-4044-a196-1351a78ed7c4,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,abe94437-7152-46de-8fab-b2b1f36599cf,Other,1,8deff3c0-2e1a-4f56-a4fc-ed59ed115202,False
d63a67ea-6e78-4db0-a0d1-e25c85ee9ad9,75d85b4a-d0c0-429e-8588-3576613736da,DemoDesk,4,5b6bcf30-7b81-4cc8-afce-584cc8512e95,Other,1,,
bc3923b2-4c83-443d-82b2-cb39dce92853,75d85b4a-d0c0-429e-8588-3576613736da,DemoDesk,4,a104253c-6316-4b7e-bcfe-5ec09c0638f9,Other,1,,
d642fef7-5d7a-45b5-a6fa-f4c3a4a09525,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,eb26cd99-a76a-4377-a08b-13555b1f2ea7,Other,1,,
3a86b772-07cf-45c9-b9fb-06bab0a73a77,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,f6fe0208-e891-497e-b62b-24a964fa4e6d,Other,1,c1201abb-fdc1-4802-be61-9b5770d29a47,False
d64583e1-04c1-454e-88d0-5469e0ca64e1,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,5e07d690-586a-49ce-9c1d-d37ebecf726e,Design,1,,
d65d61e6-ce65-4096-a021-ab5a8ffb15f0,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,6277e19c-1b8a-4c19-a371-4ba7e31e9262,Other,1,,
a82b736f-e0ac-465e-b7c6-8648d48ba45b,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,f6fe0208-e891-497e-b62b-24a964fa4e6d,Other,1,8deff3c0-2e1a-4f56-a4fc-ed59ed115202,False
d687ee20-35d1-45c3-a2d2-83ef16a829dc,9682214e-f7da-4957-bf04-19cecc8bbf18,Miro,9,b429d8b2-6d41-4b0a-af1c-14544e82064c,Other,1,,
d70d0af2-d762-422a-aa27-7a536d06d2cb,af812ab2-75f6-4181-b300-b9073b175b61,June,7,7227eeae-9bb3-4bf7-a3b8-b4cf34867b54,Other,1,,
d72751c0-16f9-42dc-9b29-78b0d63e008a,753d7586-4d85-4280-b26a-8f181d4c01d7,Chargebee,11,597fb4c1-b58f-461a-ae66-3fbbb7ce250f,Other,1,,
22aa5eb4-8e3a-4efe-a78d-dee764d008e6,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,eb26cd99-a76a-4377-a08b-13555b1f2ea7,Other,1,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
